"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon"
"","Coles Supermarket Manuka","Franklin Street &, Flinders Way","Griffith","11/08/2021 - Wednesday","6:00pm","6:45pm","Casual",-35.3207309685857,149.186931380332
"","Woolworths Charnwood","25-30 Charnwood Place","Charnwood","11/08/2021 - Wednesday","6:30pm","7:10pm","Casual",-35.2049414667951,149.051729914196
"","Southern Cross Basketball Club Stadium","7 Pitman Street","Greenway","11/08/2021 - Wednesday","8:30pm","10:00pm","Casual",-35.4149623771328,149.040190428436
"","Xian Restaurant,","1/140 Emu Bank","Belconnen","11/08/2021 - Wednesday","9:15pm","9:45pm","Casual",-35.2378290973925,149.110401191615
"","Abode Hotel (Floors 1, 2 and 3)","14 Kennedy Street","Kingston","12/08/2021 - Thursday","12:00am","7:00pm","Casual",-35.3159314494181,149.19244621464
"","EQ Bakehouse","70 Kent Street","Deakin","12/08/2021 - Thursday","7:00am","10:00am","Casual",-35.3224538905533,149.075828311209
"","TLE Electrical & Data supplies","22-36 Oatley Court","Belconnen","12/08/2021 - Thursday","7:30am","8:15am","Casual",-35.241313083321,149.006477018597
"","Coles Express Belconnen (Petrol Station)","Lathlain Street and Wignall Place","Belconnen","12/08/2021 - Thursday","7:50am","8:10am","Casual",-35.2484081476422,149.06881194667
"","McDonalds","Cnr Charnwood Place & Lhotsky Place","Charnwood","12/08/2021 - Thursday","8:00am","8:45am","Casual",-35.2064488469649,148.966253724589
"","Holy Sprit Catholic Primary School (including Early Childhood Learning Centre)","26 Kelleway Avenue","Nicholls","12/08/2021 - Thursday","8:00am","3:10pm","Casual",-35.1791803068649,149.085544887903
"","Big W","Gozzard Street","Gungahlin","12/08/2021 - Thursday","2:40pm","3:00pm","Casual",-35.1866731023787,149.078378164114
"","St George Bank Gungahlin","30 Hibberson Street","Gungahlin","12/08/2021 - Thursday","2:40pm","3:10pm","Casual",-35.1813298422408,149.187868711467
"","IGA Lyneham","1 Wattle Place","Lyneham","12/08/2021 - Thursday","3:00pm","3:45pm","Casual",-35.250999654644,149.110621762909
"","Commonwealth Bank Gungahlin","33 Hibberson Street, Shop 23, 25 Gungahlin Mall","Gungahlin","12/08/2021 - Thursday","3:00pm","3:20pm","Casual",-35.1851327068155,149.153653191687
"","Services Australia","5 Fussell Lane","Gungahlin","12/08/2021 - Thursday","3:10pm","3:30pm","Casual",-35.1878185363496,149.126007299768
"","Vodafone","18 Hibberson Street","Gungahlin","12/08/2021 - Thursday","3:20pm","3:45pm","Casual",-35.1865908834795,149.115979342236
"","Reject Shop, Gungahlin Village","Corner Hibberson Street and Gungahlin Place - Shop 2, 46 Hibberson Street","Gungahlin","12/08/2021 - Thursday","3:45pm","4:10pm","Casual",-35.1868122164561,149.142828964733
"","Beyond Pharmacy","4/18 Lonsdale Street","Braddon","12/08/2021 - Thursday","3:45pm","4:00pm","Casual",-35.2712031643558,149.171966107182
"","7-Eleven Braddon","20 Mort Street","Braddon","12/08/2021 - Thursday","3:45pm","4:00pm","Casual",-35.2798869552597,149.179902547962
"","Mr Sushi","Gungahlin Village","Gungahlin","12/08/2021 - Thursday","4:00pm","4:15pm","Casual",-35.187132294062,149.125126645872
