"Status","Suburb","Place","Date","Arrival.Time","Departure.Time","table","type","lat","lon"
"","Braddon","Assembly 11 Lonsdale Street","Tuesday 10 August 2021","7.30pm","10.15pm","Close Contacts","Close Contacts ",-35.2743976,149.1322968
"","Kingston","Gelato Messina Kingston 38 Eyre St, Kingston","Wednesday 11 August 2021","8:00pm","8.40pm","Close Contacts","Close Contacts ",-35.3165027,149.1424717
"","Griffith","Power Kart Raceway 125 Canberra Ave, Griffith","Wednesday 11 August 2021","7.15pm","8.30pm","Close Contacts","Close Contacts ",-35.3219801,149.1498478
"","Barton","F45 Training 10 National Circuit, Barton","Tuesday 10 August 2021","5:00am","8:00am","Close Contacts","Close Contacts ",-35.3085945,149.1339174
"","Barton","F45 Training 10 National Circuit, Barton","Wednesday 11 August 2021","5:00am","8:00am","Close Contacts","Close Contacts ",-35.3085945,149.1339174
"","Barton","F45 Training 10 National Circuit, Barton","Thursday 12 August 2021","5:00am","8:00am","Close Contacts","Close Contacts ",-35.3085945,149.1339174
"","Canberra City","Guzman y Gomez Shop EG07-07B Bunda St, Canberra","Tuesday 10 August 2021","5.45pm","6.45pm","Close Contacts","Close Contacts ",-35.2786183,149.1331753
"","Belconnen","Belconnen Hungry Jacks 108 Emu Bank, Road, Belconnen","Friday 13 August 2021","3.45pm","11.30pm","Close Contacts","Close Contacts ",-35.2363112,149.0703854
"","Belconnen","Belconnen Hungry Jacks 108 Emu Bank, Road, Belconnen","Saturday 14 August 2021","8:00am","3.15pm","Close Contacts","Close Contacts ",-35.2363112,149.0703854
"","Bruce","CISAC-Club Lime100 Eastern Valley Way","Monday 9 August 2021","7:00pm","9:00pm","Close Contacts","Close Contacts ",-35.2419481,149.0749404
"New","Lyneham","Capital Chemist, 76 Wattle Street,","Tuesday 10 August 2021","2.45pm","3.50pm","Close Contacts","Close Contacts New",-35.2524651,149.1250304
"New","Kaleen","Coles Supermarket, Kaleen, 1 Maribyrnong Ave","Thursday 12 August 2021","12.45pm","2.45pm","Close Contacts","Close Contacts New",-35.2202787,149.1028228
"New","Farrer","GGs Flowers & Hampers, Unit 3D Farrer Shops","Wednesday 11 August 2021","12.15pm","2:00pm","Close Contacts","Close Contacts New",-35.37559,149.1018
"New","Evatt","IGA Evatt, Heydon Place","Wednesday 11 August 2021","9:00am","3:00pm","Close Contacts","Close Contacts New",-35.208918,149.073362
"New","Belconnen","Westfield Food Court , Yum Cha, Benjamin Way","Wednesday 11 August 2021","3:00pm","4.30pm","Close Contacts","Close Contacts New",-35.2379343,149.0652428
"New","Evatt","IGA Evatt, Heydon Place","Wednesday 11 August 2021","4:00pm","8.15pm","Close Contacts","Close Contacts New",-35.208918,149.073362
"New","Charnwood","St Thomas Aquinas Primary School, 25 Lhotsky Street","Thursday 12 August 2021","8.30am","4:00pm","Close Contacts","Close Contacts New",-35.2052771,149.0304825
"New","Belconnen","UCSSC Lake Ginninderra: Gymnasium and Cafeteria/Canteen area, 2 Emu Bank","Monday 9 August 2021","10:00am","1.30pm","Close Contacts","Close Contacts New",-35.2387098,149.0736849
"New","Harrison","Harrison School  primary and secondary campuses, 20 Wimmera Street,","Wednesday 11 August 2021","8.30am","3.30pm","Close Contacts","Close Contacts New",-35.1996408,149.1522772
"New","Harrison","Harrison School  primary and secondary campuses, 20 Wimmera Street","Thursday 12 August 2021","8.30am","3.30pm","Close Contacts","Close Contacts New",-35.1996408,149.1522772
