"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","type","lat","lon"
"","Kmart Gungahlin","33 Hibberson Street","Gungahlin","10/08/2021 - Tuesday","3:00pm","4:00pm","Casual","Casual ",-35.1848509,149.1331888
"","Big W Gungahlin","Gozzard Street","Gungahlin","10/08/2021 - Tuesday","3:45pm","4:30pm","Casual","Casual ",-35.1858957,149.1336469
"","Seears Workwear","60 Barrier Street","Fyshwick","10/08/2021 - Tuesday","4:00pm","4:15pm","Casual","Casual ",-35.3292705,149.1739102
"","Supabarn","15 Kingsland Parade","Casey","10/08/2021 - Tuesday","4:00pm","4:10pm","Casual","Casual ",-35.1741413,149.0960254
"","Sushi Island","15/22 Kingsland Parade","Casey","10/08/2021 - Tuesday","4:00pm","4:15pm","Casual","Casual ",-35.1744274,149.0956353
"","First Choice Liquor","48 Mort Street","Braddon","10/08/2021 - Tuesday","4:25pm","4:45pm","Casual","Casual ",-35.2716667,149.1319444
"","David Jones Canberra Centre","148 Bunda Street","Canberra City","10/08/2021 - Tuesday","5:15pm","6:00pm","Casual","Casual ",-35.2797785,149.1328569
"","EQ Café and Lounge","70 Kent Street","Deakin","11/08/2021 - Wednesday","6:30am","4:00pm","Casual","Casual ",-35.3204751,149.0973981
"","Basketball ACT, Basketball & Sports Centre","42 Oatley Ct","Belconnen","11/08/2021 - Wednesday","6:40am","9:00pm","Casual","Casual ",-35.24185,149.057
"","EQ Bakehouse","70 Kent Street","Deakin","11/08/2021 - Wednesday","7:00am","4:00pm","Casual","Casual ",-35.3204751,149.0973981
"","TLE Electrical & Data supplies","22-36 Oatley Court","Belconnen","11/08/2021 - Wednesday","7:45am","8:30am","Casual","Casual ",-35.241658,149.0576423
"","Abode Hotel (Floors 1, 2 and 3)","14 Kennedy Street","Kingston","11/08/2021 - Wednesday","7:50am","11:59pm","Casual","Casual ",-35.31713,149.14108
"","Holy Sprit Catholic Primary School (including Early Childhood Learning Centre)","26 Kelleway Avenue","Nicholls","11/08/2021 - Wednesday","8:00am","5:00pm","Casual","Casual ",-35.180284,149.1011436
"","Café Mame","2/4-6 Melba Cct","Melba","11/08/2021 - Wednesday","8:50am","9:15am","Casual","Casual ",-35.2082908,149.0485658
"","IGA Melba","1/4-6 Melba Cct","Melba","11/08/2021 - Wednesday","8:50am","9:15am","Casual","Casual ",-35.2081529,149.0486515
"","Elite Supplements","13 Keltie Street","Phillip","11/08/2021 - Wednesday","11:15am","12:15pm","Casual","Casual ",-35.3464688,149.0866406
"","Rebel Sport","Shop LM2, Keltie Street","Phillip","11/08/2021 - Wednesday","11:15am","12:15pm","Casual","Casual ",-35.3468472,149.0860195
"","Sushi Island","15/22 Kingsland Parade","Casey","11/08/2021 - Wednesday","1:00pm","1:10pm","Casual","Casual ",-35.1744274,149.0956353
"","Supabarn Casey","15 Kingsland Parade","Casey","11/08/2021 - Wednesday","1:05pm","1:30pm","Casual","Casual ",-35.1741413,149.0960254
